city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details,price_per_sqm,rooms_per_sqm,bath_per_room,luxury_score,city_encoded,front_encoded,property_age_encoded
الرياض,   حي المعيزلة ,غرب,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000,"فيلا للايجار     لن تستخدم  جديده   كن انت اول مستأجر  لمن يبحث عن الجميل والمنزل الراقي 
الفيلا علي شارع ٢٠
حي القادسيه الجديده 
تتكون من دور ارضي 
مقلط 
ومجلس
٢ دوره مياه 
مطبخ 
وصاله 
درج اعلا تتكون من 
٢ غرف ماستر 
٢ غرف عادي 
٢دوره مياه 
وصاله 
...",220.0,0.024,0.8333333333333334,1.0,2,8,0
الرياض,   حي السليمانية ,غرب,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000,"فيلا للايجار تقع في قلب حي العليا وجنوب طريق خريص خلف مستشفى ادما  وبالقرب 

التكييف مركزي لكامل الفيلا 

الدور الارضي مجلس - صالة طعام - وصاله ومطبخ ودورتين مياه وغرفة سائق ومدخل سياره ومسبح 

الطابق العلوي اربع غرف نوم ودورتين مياه 

القبو صالتين و...",293.3333333333333,0.018666666666666668,0.7142857142857143,1.0,2,8,1
الرياض,   حي الرمال ,شمال,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000,"درج داخلى الرمال الواحه جديد موقع مميز 
يوجد ٤ مكيفات ومطبخ راكب جديد 
مطلوب ٤٥ألف 
الفيلا بحاله جيده 
مطلوب عائله خفيفه",150.0,0.016666666666666666,0.8,0.7,2,5,0
الرياض,   حي المونسية ,جنوب,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000,"جديدددددددد🔄
فيلا درج داخلي،
استقبال تحت،
و٣ غرف نوم فوق،
وفوق غرفة غسيل..
المساحة ٣١٢ م
الشارع ١٥ جنوبي،
للايجار ٦٥ الف السنة..",208.33333333333334,0.01282051282051282,1.0,1.0,2,1,0
الرياض,   حي الرمال ,غرب,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"فيلا درج صالة جديدة برمال الواحة

فيلا للايجار بالخنيني
درج داخلي نظيفة جدا 
٣ غرف نوم وغرفة خادمة وغرفة كبار السن ومشب وحوش ومدخل سيارة 
٥٥٠٠٠ الف


فيلا ٣٥٠ درج داخلي حي مطار الملك خالد جنوب١٥ يوجد مسبح 4غرف نوم إجمالي الغرف٦
غرفة سائق وغرفة خادمة ...",133.33333333333334,0.013333333333333334,1.25,0.7,2,8,0
الرياض,   حي العارض ,شمال,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"فله تصميم حلو نظيفه الدور الارضي الحوش فيه حديقه واستقبال مجلس رجال ودورة مياه ومغاسل الدور الأول غرفه ماستر وغرفتين بينهم حمام وجناح وصاله الدور الثاني غرفة خادمه مع حمام مع غسيل وسطح 
المكيفات والمطبخ راكب
الإيجار في السنه ١٠٠الف دفعتين 
تأمين ٥ ال...",250.0,0.0175,0.7142857142857143,1.0,2,5,0
الرياض,   حي الربيع ,جنوب غربي,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"للايجار فيلا بحي الربيع الشرقي مساحه 327م
زاوية جنوبيه غربية شوارع 15متر
تحت استقبال كامل 
مجلس ومقلط وصاله 
غرفه سائق 
مدخل سياره 
الدور الاول علوي 
4غرف نوم وصاله 
السطح غرفه شغاله ومكان غسيل 
ركب مكيفات 
بدون مطبخ
عليها 100الف",305.8103975535168,0.01834862385321101,0.8333333333333334,1.0,2,3,1
الرياض,   حي النرجس ,شمال,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000,"فله المساحه ٣٣٦متر درج صاله مجلس و صاله طعام وصاله ومطبخ ٢حمام مغاسل مصعد مسبح ٥غرف نوم غرفة سائق وغرفة خادمه العمر مايقارب سنه
الإيجار ١٤٠الف
تأمين ٥ الف
الموقع غير دقيق
0568811135 خالد",416.6666666666667,0.020833333333333332,0.7142857142857143,1.0,2,5,0
الرياض,   حي العارض ,شرق,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000,"فيلا للإيجار في حي النرجس

الأرضي: مجلس + صالة + مقلط + مجلس نساء + مطبخ + ملحق   
الأول: 5غرف نوم + 3غرف نوم ماستر+ غرفتين نوم ودورة مياه + غرفة ملابس

الثاني: غرفة خادمة + سطح 

مشاري

0556118008  

وائل الزارع

0535747576


   &&شركة باز التنمية ل...",276.9230769230769,0.027692307692307693,0.5555555555555556,0.7,2,4,12
الرياض,   حي ظهرة لبن ,شمال غربي,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000,"للإيجار فله في لبن دور ارضي مع مسروق على شارعين 20م
الدور الأرضي عباره عن مجلس ومقلط وصالة وغرفتين ومطبخ ودورتين مياه
والدور الثاني غرفتين ودورة مياه ( وممكن فتح شقة بجانب الدور المسروق ليصبح الدور العلوي ٤ غرف مع دورتين مياه + الغرفتين الأرضية ليصبح...",100.0,0.016,0.625,1.0,2,7,13
